id,所属コード,グループ名,表示順,DN,有効期限（開始）,有効期限（終了）
,G431040,札幌児童館/こども若者事業部/こども育成課/東・豊平/東Ⅰ/新生児童会館,1480,,,
,G431041,札幌児童館/こども若者事業部/こども育成課/東・豊平/東Ⅰ/新生児童会館/苗穂小ミニ児童会館,1490,,,
,G431050,札幌児童館/こども若者事業部/こども育成課/東・豊平/東Ⅰ/苗穂・本町児童会館,1500,,,
,G431051,札幌児童館/こども若者事業部/こども育成課/東・豊平/東Ⅰ/苗穂・本町児童会館/東光小ミニ児童会館,1510,,,
,G431060,札幌児童館/こども若者事業部/こども育成課/東・豊平/東Ⅰ/栄西小はんのき児童会館,1520,,,
,G431070,札幌児童館/こども若者事業部/こども育成課/東・豊平/東Ⅰ/栄西児童会館,1530,,,
,G431071,札幌児童館/こども若者事業部/こども育成課/東・豊平/東Ⅰ/栄西児童会館/栄東小ミニ児童会館,1540,,,
,G431072,札幌児童館/こども若者事業部/こども育成課/東・豊平/東Ⅰ/栄西児童会館/栄緑小ミニ児童会館,1550,,,
,G432000,札幌児童館/こども若者事業部/こども育成課/東・豊平/東Ⅱ,1560,,,
,G432010,札幌児童館/こども若者事業部/こども育成課/東・豊平/東Ⅱ/東苗穂児童会館,1570,,,
,G432020,札幌児童館/こども若者事業部/こども育成課/東・豊平/東Ⅱ/札苗児童会館,1580,,,
,G432021,札幌児童館/こども若者事業部/こども育成課/東・豊平/東Ⅱ/札苗児童会館/札苗小ミニ児童会館,1590,,,
,G432030,札幌児童館/こども若者事業部/こども育成課/東・豊平/東Ⅱ/丘珠ひばり児童会館,1600,,,
,G432031,札幌児童館/こども若者事業部/こども育成課/東・豊平/東Ⅱ/丘珠ひばり児童会館/中沼小ミニ児童会館,1610,,,
,G432040,札幌児童館/こども若者事業部/こども育成課/東・豊平/東Ⅱ/元町児童会館,1620,,,
,G432041,札幌児童館/こども若者事業部/こども育成課/東・豊平/東Ⅱ/元町児童会館/元町小ミニ児童会館,1630,,,
,G432050,札幌児童館/こども若者事業部/こども育成課/東・豊平/東Ⅱ/元町南児童会館,1640,,,
,G432051,札幌児童館/こども若者事業部/こども育成課/東・豊平/東Ⅱ/元町南児童会館/札幌小ミニ児童会館,1650,,,
,G432060,札幌児童館/こども若者事業部/こども育成課/東・豊平/東Ⅱ/伏古児童会館,1660,,,
,G432061,札幌児童館/こども若者事業部/こども育成課/東・豊平/東Ⅱ/伏古児童会館/伏古北小ミニ児童会館,1670,,,
,G432070,札幌児童館/こども若者事業部/こども育成課/東・豊平/東Ⅱ/丘珠たから児童会館,1680,,,
,G432071,札幌児童館/こども若者事業部/こども育成課/東・豊平/東Ⅱ/丘珠たから児童会館/元町北小ミニ児童会館,1690,,,
,G432080,札幌児童館/こども若者事業部/こども育成課/東・豊平/東Ⅱ/東雁来児童会館,1700,,,
,G433000,札幌児童館/こども若者事業部/こども育成課/東・豊平/豊平Ⅰ,1710,,,
,G433010,札幌児童館/こども若者事業部/こども育成課/東・豊平/豊平Ⅰ/中の島児童会館,1720,,,
,G433020,札幌児童館/こども若者事業部/こども育成課/東・豊平/豊平Ⅰ/平岸児童会館,1730,,,
,G433021,札幌児童館/こども若者事業部/こども育成課/東・豊平/豊平Ⅰ/平岸児童会館/東山小ミニ児童会館,1740,,,
,G433030,札幌児童館/こども若者事業部/こども育成課/東・豊平/豊平Ⅰ/月寒児童会館,1750,,,
,G433031,札幌児童館/こども若者事業部/こども育成課/東・豊平/豊平Ⅰ/月寒児童会館/東園小ミニ児童会館,1760,,,
,G433040,札幌児童館/こども若者事業部/こども育成課/東・豊平/豊平Ⅰ/天神山児童会館,1770,,,
,G433041,札幌児童館/こども若者事業部/こども育成課/東・豊平/豊平Ⅰ/天神山児童会館/平岸小ミニ児童会館,1780,,,
,G433050,札幌児童館/こども若者事業部/こども育成課/東・豊平/豊平Ⅰ/豊平児童会館,1790,,,
,G433051,札幌児童館/こども若者事業部/こども育成課/東・豊平/豊平Ⅰ/豊平児童会館/旭小ミニ児童会館,1800,,,
,G433060,札幌児童館/こども若者事業部/こども育成課/東・豊平/豊平Ⅰ/美園児童会館,1810,,,
,G433061,札幌児童館/こども若者事業部/こども育成課/東・豊平/豊平Ⅰ/美園児童会館/みどり小ミニ児童会館,1820,,,
,G433070,札幌児童館/こども若者事業部/こども育成課/東・豊平/豊平Ⅰ/東山児童会館,1830,,,
,G434000,札幌児童館/こども若者事業部/こども育成課/東・豊平/豊平Ⅱ,1840,,,
,G434010,札幌児童館/こども若者事業部/こども育成課/東・豊平/豊平Ⅱ/福住児童会館,1850,,,
,G434020,札幌児童館/こども若者事業部/こども育成課/東・豊平/豊平Ⅱ/西岡高台児童会館,1860,,,
,G434021,札幌児童館/こども若者事業部/こども育成課/東・豊平/豊平Ⅱ/西岡高台児童会館/西岡小ミニ児童会館,1870,,,
,G434030,札幌児童館/こども若者事業部/こども育成課/東・豊平/豊平Ⅱ/西岡児童会館,1880,,,
,G434031,札幌児童館/こども若者事業部/こども育成課/東・豊平/豊平Ⅱ/西岡児童会館/平岸高台小ミニ児童会館,1890,,,
,G434040,札幌児童館/こども若者事業部/こども育成課/東・豊平/豊平Ⅱ/あやめ野児童会館,1900,,,
,G434041,札幌児童館/こども若者事業部/こども育成課/東・豊平/豊平Ⅱ/あやめ野児童会館/豊園小ミニ児童会館,1910,,,
,G434050,札幌児童館/こども若者事業部/こども育成課/東・豊平/豊平Ⅱ/東月寒児童会館,1920,,,
,G434051,札幌児童館/こども若者事業部/こども育成課/東・豊平/豊平Ⅱ/東月寒児童会館/あやめ野小ミニ児童会館,1930,,,
,G434060,札幌児童館/こども若者事業部/こども育成課/東・豊平/豊平Ⅱ/羊丘児童会館,1940,,,
,G434061,札幌児童館/こども若者事業部/こども育成課/東・豊平/豊平Ⅱ/羊丘児童会館/南月寒小ミニ児童会館,1950,,,
,G440000,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田,1960,,,
,G441000,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/白石Ⅰ,1970,,,
,G441030,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/白石Ⅰ/柏丘児童会館,1980,,,
,G441031,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/白石Ⅰ/柏丘児童会館/平和通小ミニ児童会館,1990,,,
,G441010,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/白石Ⅰ/菊水元町児童会館,2000,,,
,G441020,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/白石Ⅰ/川北児童会館,2010,,,
,G441021,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/白石Ⅰ/川北児童会館/白石小ミニ児童会館,2020,,,
,G441022,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/白石Ⅰ/川北児童会館/北白石小ミニ児童会館,2030,,,
,G441040,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/白石Ⅰ/北東白石児童会館,2040,,,
,G441042,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/白石Ⅰ/北東白石児童会館/菊水小ミニ児童会館,2050,,,
,G441041,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/白石Ⅰ/北東白石児童会館/北都小ミニ児童会館,2060,,,
,G442000,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/白石Ⅱ,2070,,,
,G442010,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/白石Ⅱ/栄通児童会館,2080,,,
,G442020,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/白石Ⅱ/東白石児童会館,2090,,,
,G442021,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/白石Ⅱ/東白石児童会館/大谷地小ミニ児童会館,2100,,,
,G442030,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/白石Ⅱ/北郷児童会館,2110,,,
,G442031,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/白石Ⅱ/北郷児童会館/西白石小ミニ児童会館,2120,,,
,G442040,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/白石Ⅱ/東札幌児童会館,2130,,,
,G442041,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/白石Ⅱ/東札幌児童会館/南郷小ミニ児童会館,2140,,,
,G442042,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/白石Ⅱ/東札幌児童会館/本郷小ミニ児童会館,2150,,,
,G442050,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/白石Ⅱ/菊水やよい児童会館,2160,,,
,G442051,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/白石Ⅱ/菊水やよい児童会館/東橋小ミニ児童会館,2170,,,
,G442052,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/白石Ⅱ/菊水やよい児童会館/上白石小ミニ児童会館,2180,,,
,G443000,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/厚別,2190,,,
,G443010,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/厚別/厚別東児童会館,2200,,,
,G443020,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/厚別/もみじ台ふれあい児童会館,2210,,,
,G443021,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/厚別/もみじ台ふれあい児童会館/もみじの丘小ミニ児童会館,2220,,,
,G443030,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/厚別/厚別南児童会館,2230,,,
,G443031,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/厚別/厚別南児童会館/ひばりが丘小ミニ児童会館,2240,,,
,G443040,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/厚別/厚別西児童会館,2250,,,
,G443041,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/厚別/厚別西児童会館/厚別北小ミニ児童会館,2260,,,
,G443050,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/厚別/もみじ台児童会館,2270,,,
,G443051,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/厚別/もみじ台児童会館/厚別東小ミニ児童会館,2280,,,
,G443060,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/厚別/青葉児童会館,2290,,,
,G443061,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/厚別/青葉児童会館/新札幌わかば小ミニ児童会館,2300,,,
,G443070,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/厚別/しなの児童会館,2310,,,
,G443071,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/厚別/しなの児童会館/厚別西小ミニ児童会館,2320,,,
,G443080,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/厚別/上野幌児童会館,2330,,,
,G443081,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/厚別/上野幌児童会館/大谷地東小ミニ児童会館,2340,,,
,G444000,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/清田,2350,,,
,G444010,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/清田/美しが丘児童会館,2360,,,
,G444020,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/清田/清田中央児童会館,2370,,,
,G444021,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/清田/清田中央児童会館/清田緑小ミニ児童会館,2380,,,
,G444030,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/清田/里塚児童会館,2390,,,
,G444031,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/清田/里塚児童会館/美しが丘小ミニ児童会館,2400,,,
,G444040,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/清田/清田児童会館,2410,,,
,G444041,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/清田/清田児童会館/真栄小ミニ児童会館,2420,,,
,G444050,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/清田/平岡児童会館,2430,,,
,G444051,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/清田/平岡児童会館/平岡中央小ミニ児童会館,2440,,,
